ultimate_group,manufacturer_normalized,relationship_type,evidence,capacity_val,technologies,locations
Waaree Group,WAAREE ENERGIES LIMITED,Ultimate Group Parent,Waaree's primary corporate entity,5251.0,"Mono PERC, TOPCon","Degam, Chikhli, Navsari, Gujarat"
Tata Group,TP SOLAR LIMITED,Wholly Owned Subsidiary,Wholly owned subsidiary of Tata Power Renewable Energy Ltd,4533.0,"Mono PERC, TOPCon","Gangaikondan, Tirunelveli, Tamil Nadu"
First Solar Group,FS INDIA SOLAR VENTURES PRIVATE LIMITED,Subsidiary,Indian manufacturing entity of US thin-film manufacturer First Solar,3433.0,Deemed Eligible (First Solar Thin-Film),"Pillaipakkam, Tamil Nadu"
Adani Group,MUNDRA SOLAR PV LIMITED,Subsidiary,Adani Group's solar manufacturing arm (Adani Solar),2298.0,TOPCon,"Mundra, Kutch, Gujarat"
Premier Energies Group,PREMIER ENERGIES PHOTOVOLTAIC PRIVATE LIMITED,Wholly Owned Subsidiary,Wholly owned subsidiary of listed Premier Energies Limited,2109.0,"Mono PERC, TOPCon","Maheshwaram (M), Ranga Reddy, Telangana"
Adani Group,MUNDRA SOLAR ENERGY LIMITED,Subsidiary,Adani Group's solar manufacturing arm (Adani Solar),1939.0,Mono PERC,"Mundra, Kutch, Gujarat"
ReNew Power Group,RENEW PHOTOVOLTAICS PRIVATE LIMITED,Subsidiary,Solar manufacturing vehicle of NASDAQ-listed ReNew Energy Global PLC,1766.0,Mono PERC,"Dholera SIR, Ahmedabad, Gujarat"
Emmvee Group,EMMVEE ENERGY PRIVATE LIMITED,Ultimate Group Parent,Emmvee Group's cell manufacturing arm,1553.0,TOPCon,"Nelamangala, Bangalore, Karnataka"
Reliance Group,RELIANCE INDUSTRIES LIMITED,Ultimate Group Parent,Reliance Industries Limited (Ambani Group),1238.0,HJT,"Jamnagar, Gujarat"
Websol Group,WEBSOL ENERGY SYSTEM LIMITED,Ultimate Group Parent,Websol's primary corporate entity (promoted by Sohan Lal Agarwal),1202.0,Mono PERC,"Falta, West Bengal"
Premier Energies Group,PREMIER ENERGIES INTERNATIONAL PRIVATE LIMITED,Wholly Owned Subsidiary,Wholly owned subsidiary of listed Premier Energies Limited,1174.0,Mono PERC,"Maheshwaram (M), Ranga Reddy, Telangana"
Evervolt Group,EVERVOLT SOLAR TECHNOLOGY INDIA PRIVATE LIMITED,Ultimate Group Parent,Evervolt's primary solar cell manufacturing vehicle,1074.0,Mono PERC,"Sricity, Tirupati, Andhra Pradesh"
Jupiter Group,JUPITER SOLARTECH PRIVATE LIMITED,Wholly Owned Subsidiary,100% subsidiary of Jupiter International Limited,991.0,Mono PERC,"Baddi, Solan, Himachal Pradesh"
ENPEE Group,RENEWSYS INDIA PRIVATE LIMITED,Subsidiary,Part of the ENPEE Group (promoted by Sanjay Kirpalani),452.0,TOPCon,"Srinagar (V), Fabcity, Maheswaram (M), Ranga Reddy, Telangana"
Jupiter Group,JUPITER INTERNATIONAL LIMITED (UNIT 2),Ultimate Group Parent,Jupiter's primary cell manufacturing entity,440.0,Mono PERC,"Baddi, Solan, Himachal Pradesh"
UTL Solar,FUJIYAMA POWER SYSTEMS LIMITED,Ultimate Group Parent,UTL Solar brand (promoted by Pawan Kumar Garg & Yogesh Dua),437.0,Mono PERC,"Gautam Buddha Nagar, Uttar Pradesh"
Jupiter Group,JUPITER INTERNATIONAL LIMITED (UNIT 1),Ultimate Group Parent,Jupiter's primary cell manufacturing entity,339.0,Mono PERC,"Baddi, Solan, Himachal Pradesh"
Tata Group,TATA POWER RENEWABLE ENERGY LIMITED,Ultimate Group Parent,Tata Power Group's primary renewable energy entity,280.0,Mono PERC,"Electronic City, Bangalore, Karnataka"
