page_num,revision,table_sno,manufacturer_clean,location_clean,enlisted_capacity_clean,technology,validity_from,validity_to,block_text_sample,enlistment_key,rev_rank
17,Original List,1,EMMVEE ENERGY PRIVATE LIMITED,"Nelamangala, Bangalore, Karnataka",1553.0,TOPCon,31.07.2025,30.07.2029,"1 M/s Emmvee Sy No. 66-70/3, 1553 Bifacial N-Type EM16D1-TCM10 24.62% [20.0% - 26.0%] 31.07.2025 30.07.2029 Energy Pvt. ","EMMVEE ENERGY PRIVATE LIMITED @ Nelamangala, Bangalore, Karnataka @ TOPCon",0
9,Revision-4,1,EVERVOLT SOLAR TECHNOLOGY INDIA PRIVATE LIMITED,"Sricity, Tirupati, Andhra Pradesh",1074.0,Mono PERC,05.02.2026,04.02.2030,"1 M/s Evervolt No. 250, Thespia Drive, 1074 Bifacial Mono-c-Si EVT-M10-BR-PERC 23.10% 22% to 23.50 % 05.02.2026 04.02.20","EVERVOLT SOLAR TECHNOLOGY INDIA PRIVATE LIMITED @ Sricity, Tirupati, Andhra Pradesh @ Mono PERC",4
9,Revision-4,4,FS INDIA SOLAR VENTURES PRIVATE LIMITED,"Pillaipakkam, Tamil Nadu",3433.0,Deemed Eligible (First Solar Thin-Film),31.07.2025,28.04.2028,"4 M/s. FS India Plot No. A-1/1, Sipcot 3433* Is enlisted in ALMM List-I for solar PV modules and is deemed to be eligibl","FS INDIA SOLAR VENTURES PRIVATE LIMITED @ Pillaipakkam, Tamil Nadu @ Deemed Eligible (First Solar Thin-Film)",4
7,Revision - 5,1,FUJIYAMA POWER SYSTEMS LIMITED,"Gautam Buddha Nagar, Uttar Pradesh",437.0,Mono PERC,13.02.2026,12.02.2030,"1 M/s Fujiyama KH-345/1, 345/2, 437 Bifacial Mono-c-Si UT-182M 23.41% 22.60% to 23.60% 13.02.2026 12.02.2030 Power Syste","FUJIYAMA POWER SYSTEMS LIMITED @ Gautam Buddha Nagar, Uttar Pradesh @ Mono PERC",5
19,Original List,7,JUPITER INTERNATIONAL LIMITED (UNIT 1),"Baddi, Solan, Himachal Pradesh",339.0,Mono PERC,31.07.2025,30.07.2029,"7 M/s. Jupiter Village Katha , PO & 339 Mono PERC 23.10% [20.0 % to 23.80 %] 31.07.2025 30.07.2029 International Tehsil ","JUPITER INTERNATIONAL LIMITED (UNIT 1) @ Baddi, Solan, Himachal Pradesh @ Mono PERC",0
19,Original List,8,JUPITER INTERNATIONAL LIMITED (UNIT 2),"Baddi, Solan, Himachal Pradesh",440.0,Mono PERC,31.07.2025,30.07.2029,"8 M/s. Jupiter Village Katha , PO & 440 Mono PERC 23.10% [20.0 % to 23.80 %] 31.07.2025 30.07.2029 International Tehsil ","JUPITER INTERNATIONAL LIMITED (UNIT 2) @ Baddi, Solan, Himachal Pradesh @ Mono PERC",0
5,Revision- 6,2,JUPITER SOLARTECH PRIVATE LIMITED,"Baddi, Solan, Himachal Pradesh",991.0,Mono PERC,13.04.2026,12.04.2030,"2 M/s. Jupiter Solartech Floor No. Unit III, Village 991 Mono PERC Bifacial Solar 182.2x183.75 23.70% 20.00 % to23.80 % ","JUPITER SOLARTECH PRIVATE LIMITED @ Baddi, Solan, Himachal Pradesh @ Mono PERC",6
18,Original List,4,MUNDRA SOLAR ENERGY LIMITED,"Mundra, Kutch, Gujarat",1939.0,Mono PERC,31.07.2025,30.07.2029,"4 M/s. Mundra Survey No. 180 P, 1939 Bifacial Mono c-Si 23.43% [22.6% to 23.5 %] 3 1 . 0 7 . 2 0 2 5 3 0 . 0 7 . 2 0 2 9","MUNDRA SOLAR ENERGY LIMITED @ Mundra, Kutch, Gujarat @ Mono PERC",0
9,Revision-4,2,MUNDRA SOLAR PV LIMITED,"Mundra, Kutch, Gujarat",2298.0,TOPCon,31.07.2025,30.07.2029,"2 M/s Mundra Solar Survey No 180 P, Co Mundra 2298* Bifacial N Type TPRB16 25.35% 24.5 % to 25.7 % 31.07.2025 30.07.2029","MUNDRA SOLAR PV LIMITED @ Mundra, Kutch, Gujarat @ TOPCon",4
17,Original List,3,PREMIER ENERGIES INTERNATIONAL PRIVATE LIMITED,"Maheshwaram (M), Ranga Reddy, Telangana",1174.0,Mono PERC,31.07.2025,30.07.2029,"3 M/s Premier Plot No. 8/B/1 & 2, 1174 Bifacial Mono c-Si 23.24% [20.97% to 25.63 %] 31.07.2025 30.07.2029 Energies Surv","PREMIER ENERGIES INTERNATIONAL PRIVATE LIMITED @ Maheshwaram (M), Ranga Reddy, Telangana @ Mono PERC",0
