page_num,revision,table_sno,manufacturer_raw,manufacturer_clean,location_raw,location_clean,bis_registration_raw,bis_registration_clean,enlisted_capacity_raw,enlisted_capacity_clean,note,rev_rank,manufacturer_normalized
14,Revision-XLVIII,20,"Vikram Solar Limited S p e c i a l E c onomic Zone (SEZ),",Vikram Solar Limited S p,e c i a l E c onomic Zone (SEZ),e c i a l E c onomic Zone (SEZ),R-51000566,R-51000566,2893.0,2893.0,,48,VIKRAM SOLAR LIMITED
51,Revision-XLIV,5,"Sova Solar Limited Layout Plot No: 25, E.P.I.P,",Sova Solar Limited,"Layout Plot No: 25, E.P.I.P","Layout Plot No: 25, E.P.I.P",R-51000590,R-51000590,1368.0,1368.0,,44,SOVA SOLAR LIMITED
25,Revision-XLVII,12,"Websol Energy System SECTOR-II, FALTA SPECIAL",Websol Energy System,"SECTOR-II, FALTA SPECIAL","SECTOR-II, FALTA SPECIAL",R-51000698,R-51000698,579.0,579.0,,47,WEBSOL ENERGY SYSTEM
106,Revision-XLI,20,"H R Solar Raghudebpur, NH-6,",H R Solar Raghudebpur,NH-6,NH-6,R-51001686,R-51001686,187.0,187.0,,41,H R SOLAR RAGHUDEBPUR
46,Revision- XLV,12,"GREEN VALLEY 10, LILUAH, BELUR ROAD,","GREEN VALLEY 10, LILUAH, BELUR",ROAD,ROAD,R-51003239,R-51003239,34.0,34.0,,45,GREENBRILLIANCE RENEWABLE ENERGY LLP
33,Revision-XLVI,10,"Surya International Plot No. S4-E1-21, EMC Park,",Surya International,"Plot No. S4-E1-21, EMC Park","Plot No. S4-E1-21, EMC Park",R-52000175,R-52000175,397.0,397.0,,46,SURYA INTERNATIONAL
254,Revision - XXXVI,61,"AG Solar Urja Udyog Plot No. 428 & 443, Khata No.",AG Solar Urja Udyog,"Plot No. 428 & 443, Khata No","Plot No. 428 & 443, Khata No",R-52000205,R-52000205,53.0,53.0,,36,AG SOLAR URJA UDYOG
131,Revision-XXXVIII,10,"SAN Energy Plot No. 356, San Energy",SAN Energy,"Plot No. 356, San Energy","Plot No. 356, San Energy",R-53000221,R-53000221,27.0,27.0,,38,SAN ENERGY
108,Revision-XLI,23,Abhishek Solar Khata No. 67 Plot No.,Abhishek Solar,Khata No. 67 Plot No,Khata No. 67 Plot No,R-58000140,R-58000140,142.0,142.0,,41,ABHISHEK SOLAR
161,Revision-XXXVII,4,"Icon Solar En PH No. 09, Gram Dighari",Icon Solar En PH,"No. 09, Gram Dighari","No. 09, Gram Dighari",R-59000140,R-59000140,574.0,574.0,,37,ICON SOLAR ENERCON PRIVATE LIMITED
268,Revision - XXXVI,74,"Laxmi Solar Power Khasra No. 192, Harsun Tildahdih",Laxmi Solar Power,"Khasra No. 192, Harsun Tildahdih","Khasra No. 192, Harsun Tildahdih",R-59000442,R-59000442,121.0,121.0,,36,LAXMI SOLAR POWER
115,Revision-XL,7,Rajasthan Co-ALMM with M/s.,Rajasthan,Co-ALMM with M/s,Co-ALMM with M/s,R-59000558,R-59000558,10.0,10.0,,40,RAJASTHAN ELECTRONICS AND INSTRUMENTS LIMITED
203,Revision - XXXVI,13,"Vikram Solar Ltd. B1000A, B1100C, Indospace Industrial","Vikram Solar Ltd. B1000A, B1100C, Indospace",Industrial,Industrial,R-61002070,R-61002070,1408.0,1408.0,,36,VIKRAM SOLAR LIMITED
17,Revision-XLVII,4,"Swelect HHV Solar No. 169,166, Sembagoundan",Swelect HHV Solar,"No. 169,166, Sembagoundan","No. 169,166, Sembagoundan",R-61003433,R-61003433,853.0,853.0,,47,SWELECT HHV SOLAR PHOTOVOLTAICS PRIVATE LIMITED
14,Revision-XLVIII,18,"TP Solar Limited PLOT NO. A109, NEAR ELCOT",TP Solar Limited,"PLOT NO. A109, NEAR ELCOT","PLOT NO. A109, NEAR ELCOT",R-61004146,R-61004146,5072.0,5072.0,,48,TP SOLAR LIMITED
91,Revision-XLI,6,"FS India Solar Plot No. A-1/1, Sipcot",FS India Solar,"Plot No. A-1/1, Sipcot","Plot No. A-1/1, Sipcot",R-61004316,R-61004316,3433.0,3433.0,,41,FS INDIA SOLAR VENTURES PRIVATE LIMITED
279,Revision - XXXVI,93,"Axitec Energy India Survey No.: 257/5, 257/6, Thandalam-",Axitec Energy India,"Survey No.: 257/5, 257/6, Thandalam","Survey No.: 257/5, 257/6, Thandalam",R-61005258,R-61005258,18.0,18.0,,36,AXITEC ENERGY INDIA PRIVATE LIMITED
28,Revision-XLVI,1,"KRG POWER SOLAR 128/1, K.AYYAMPALAYAM POST,",KRG POWER SOLAR 128/1,K.AYYAMPALAYAM POST,K.AYYAMPALAYAM POST,R-61006203,R-61006203,1094.0,1094.0,,46,KRG POWER SOLAR PRIVATE LIMITED
9,Revision-XLVIII,11,"Vikram Solar Limited PLOT NO: B400, B300B,",Vikram Solar Limited,"PLOT NO: B400, B300B","PLOT NO: B400, B300B",R-61006980,R-61006980,3358.0,3358.0,,48,VIKRAM SOLAR LIMITED
178,Revision - XXXVI,1,"Emmvee Photovoltaic #13/1, International Airport Road","Emmvee Photovoltaic #13/1, International Airport",Road,Road,R-62001074,R-62001074,512.0,512.0,,36,EMMVEE PHOTOVOLTAIC POWER PRIVATE LIMITED
9,Revision-XLVIII,9,"Tata Power Renewable Sy No. 43P and 44(P),",Tata Power Renewable,Sy No. 43P and 44(P),Sy No. 43P and 44(P),R-62001090,R-62001090,577.0,577.0,,48,RENEW PHOTOVOLTAICS PRIVATE LIMITED
10,Revision-XLVIII,12,"ORB Energy Private No. 95, Digital Park Road, 2nd",ORB Energy Private,"No. 95, Digital Park Road, 2nd","No. 95, Digital Park Road, 2nd",R-62001708,R-62001708,59.0,59.0,,48,ORB ENERGY PRIVATE
263,Revision - XXXVI,69,"Tata Power Plot No. 24-B, Industrial Shed, SY No",Tata Power,"Plot No. 24-B, Industrial Shed, SY No","Plot No. 24-B, Industrial Shed, SY No",R-62002585,R-62002585,94.0,94.0,,36,TATA POWER RENEWABLE ENERGY LIMITED
171,Revision-XXXVII,14,"Emmvee Sy. No. 66-70/3,",Emmvee,Sy. No. 66-70/3,Sy. No. 66-70/3,R-62002976,R-62002976,678.0,678.0,,37,EMMVEE PHOTOVOLTAIC POWER PRIVATE LIMITED
