ultimate_group,manufacturer_normalized,relationship_type,evidence,capacity_val,bis_registrations,locations
Waaree Group,WAAREE ENERGIES LIMITED,Ultimate Group Parent,Waaree's primary corporate entity,18645.0,"R-72002038, R-72003085, R-72005533","SURVEY NO. 38/1,TUMB | Unit 2B, Survey No. 267 | No. 1934,1939,1941,1942, NH"
Goldi Solar Group,GOLDI SUN PRIVATE LIMITED,Wholly Owned Subsidiary,100% subsidiary of Goldi Solar Pvt Ltd,15169.0,"R-72006149, R-72012467, R-72014966",Survey No. 920 | Unit no 6 (Type F) | BLOCK/SURVEY NO 252/P2
Rayzon Solar,RAYZON SOLAR LIMITED,Independent Group,Promoted by Chirag Nakrani and Hardik Kothiya,11319.0,"R-72002305, R-72014702","Block No. 94/1/1F, 94/1/3 | BLOCK NO.:172/1, SUB PLOT"
Waaree Group,SANGAM SOLAR ONE PRIVATE LIMITED,Wholly Owned Subsidiary,Wholly owned subsidiary of Waaree Energies Ltd,9234.0,R-72015415,"SURVEY NO. 644, ORPAT"
Avaada Group,AVAADA ELECTRO PRIVATE LIMITED,Subsidiary,"Avaada Group's manufacturing arm, promoted by Vineet Mittal",8220.0,"R-71040312, R-93030724","Road, Additional | Khasra No. 1145"
Vikram Solar,VIKRAM SOLAR LIMITED,Independent Group,Promoted by Chaudhary family (Gyanesh Chaudhary),7659.0,"R-51000566, R-61002070, R-61006980","e c i a l E c onomic Zone (SEZ) | Industrial | PLOT NO: B400, B300B"
Emmvee Group,EMMVEE ENERGY PRIVATE LIMITED,Sister Company / Subsidiary,"Emmvee Group entity, common promoter ownership (Manjunatha family)",7584.0,"R-62004626, R-62006050","Sy. No. 66-70/3, Sompura | "
ReNew Power Group,RENEW PHOTOVOLTAICS PRIVATE LIMITED,Independent Group,Renewable energy IPP manufacturing arm (ReNew Power),6011.0,"R-62001090, R-72009903, R-84003778","Sy No. 43P and 44(P) | Plot No. 232, TP-2/A | PLOT NO-DTA-02-40 TO 45"
Chiripal Group,GREW ENERGY PRIVATE LIMITED,Subsidiary,Solar manufacturing vehicle of Chiripal Group (Ahmedabad),5818.0,"R-84004332, R-84006289","Khasra No. 2215, 2216, 1654, 1655 | Khasra Number 851 to"
ENPEE Group,RENEWSYS INDIA PRIVATE LIMITED,Subsidiary,Part of the ENPEE Group (promoted by Sanjay Kirpalani),5217.0,"R-63000760, R-71018970, R-71045160","Sy .No. 114/P, Srinagar | Plot No. E141, Additional | B-300, SURVEY NO: 54/1 (PT);"
Reliance Group,RELIANCE INDUSTRIES LIMITED,Ultimate Group Parent,Reliance Industries Limited (Ambani Group),5201.0,R-72011452,
Tata Group,TP SOLAR LIMITED,Wholly Owned Subsidiary,Wholly owned subsidiary of Tata Power Renewable Energy Ltd,5072.0,R-61004146,"PLOT NO. A109, NEAR ELCOT"
Future Solar Group,FS GREEN ENERGIES PRIVATE LIMITED,Ultimate Group Parent,"FS Green Energies Limited, operating under brand Future Solar",5001.0,R-72011258,"Block No. 160 - 164, 168"
