Director,ALMM Entity A,ALMM Entity B,Interpretation
Sanjeev Churiwala,TATA POWER RENEWABLE ENERGY LIMITED,TP SOLAR LIMITED,Parent entity representative / Executive on subsidiary board
Sanjay Kumar Banga,TATA POWER RENEWABLE ENERGY LIMITED,TP SOLAR LIMITED,Parent entity representative / Executive on subsidiary board
Surender Pal Singh Saluja,PREMIER ENERGIES LIMITED,PREMIER ENERGIES GLOBAL ENVIRONMENT LIMITED,Common promoter (Saluja family) overseeing both facilities
Chiranjeev Singh Saluja,PREMIER ENERGIES LIMITED,PREMIER ENERGIES GLOBAL ENVIRONMENT LIMITED,Common promoter (Saluja family) overseeing both facilities
Vikas Jain,INSOLATION GREEN ENERGY PRIVATE LIMITED,INSOLATION ENERGY PRIVATE LIMITED,Common promoter (Jain & Gupta family) connecting parent and subsidiary
Manish Gupta,INSOLATION GREEN ENERGY PRIVATE LIMITED,INSOLATION ENERGY PRIVATE LIMITED,Common promoter (Jain & Gupta family) connecting parent and subsidiary
Ishverbhai Arjanbhai Dholakiya,GOLDI SUN PRIVATE LIMITED,GOLDI SOLAR PRIVATE LIMITED,Common promoter (Dholakiya family / SRK Group) connecting parent and subsidiary
Bharat Kumar Bhut,GOLDI SUN PRIVATE LIMITED,GOLDI SOLAR PRIVATE LIMITED,Common promoter (Dholakiya family / SRK Group) connecting parent and subsidiary
"Doshi Family (Hitesh, Pankaj, Ankit, Pujan)",WAAREE ENERGIES LIMITED,SANGAM SOLAR ONE PRIVATE LIMITED,Promoter family (Doshi family) control. Sons of Waaree promoters serve as directors of Sangam Solar One WOS
Jasbir Singh,SAEL SOLAR P6 PRIVATE LIMITED,SAEL SOLAR MFG PRIVATE LIMITED,Common promoter (Singh family) connecting both SAEL group manufacturing facilities
Lakhwinder Singh,SAEL SOLAR P6 PRIVATE LIMITED,SAEL SOLAR MFG PRIVATE LIMITED,Common promoter (Singh family) connecting both SAEL group manufacturing facilities
