ALMM Entity,Parent / Major Shareholder,Ownership %,Type of Shareholder,Relationship Description
SANGAM SOLAR ONE PRIVATE LIMITED,WAAREE ENERGIES LIMITED,100.0%,Listed Holding Company,Wholly owned subsidiary of Waaree Energies Ltd
TP SOLAR LIMITED,TATA POWER RENEWABLE ENERGY LIMITED,100.0%,Unlisted Holding Company,"Wholly owned subsidiary of TPREL, which is owned by Tata Power Co Ltd (listed)"
TATA POWER RENEWABLE ENERGY LIMITED,THE TATA POWER COMPANY LIMITED,100.0%,Listed Promoter Group Company,Parent company and promoter entity
GOLDI SUN PRIVATE LIMITED,GOLDI SOLAR PRIVATE LIMITED,100.0%,Promoter Group Company,Wholly owned subsidiary of Goldi Solar (formerly Goldi Green)
GOLDI SOLAR PRIVATE LIMITED,DHOLAKIA FAMILY & SRK GROUP,Majority,Promoter Family,Promoted by Ishverbhai Dholakiya and SRK Group (diamond conglomerate)
INSOLATION GREEN ENERGY PRIVATE LIMITED,INSOLATION ENERGY LIMITED,100.0%,Listed Holding Company,Wholly owned subsidiary of Insolation Energy Ltd (listed on BSE SME)
PREMIER ENERGIES GLOBAL ENVIRONMENT LIMITED,PREMIER ENERGIES LIMITED,100.0%,Listed Holding Company,Wholly owned subsidiary of Premier Energies Limited (listed)
SAEL SOLAR P6 PRIVATE LIMITED,SAEL LIMITED,Majority,Promoter Group Company,"Manufacturing subsidiary of SAEL Limited, which is owned by the Singh family"
SAEL SOLAR MFG PRIVATE LIMITED,SAEL LIMITED,Majority,Promoter Group Company,"Manufacturing subsidiary of SAEL Limited, which is owned by the Singh family"
MUNDRA SOLAR PV LIMITED,ADANI ENTERPRISES LIMITED,100.0%,Listed Holding Company,Wholly owned subsidiary of Adani Enterprises (Adani Solar business vertical)
INDOSOL SOLAR PRIVATE LIMITED,SHIRDI SAI ELECTRICALS LIMITED,100.0%,Promoter Group Company,Wholly owned subsidiary of Shirdi Sai Electricals Ltd (transformer manufacturer)
STARTUP ENERGY PRIVATE LIMITED,MICROMAX INFORMATICS LIMITED,Majority,Promoter Group Company,Solar manufacturing arm of Micromax (consumer electronics player)
SWELECT HHV SOLAR PHOTOVOLTAICS PRIVATE LIMITED,SWELECT ENERGY SYSTEMS LIMITED,100.0%,Listed Holding Company,Subsidiary of publicly listed Swelect Energy Systems Ltd
MKU HOLDINGS PRIVATE LIMITED,ACME SOLAR HOLDINGS LIMITED / MANOJ UPADHYAY,Majority,Promoter Group / Founder,Solar manufacturing equipment arm of the ACME Group
INOX SOLAR LIMITED,INOX WIND LIMITED / INOXGFL GROUP,Majority,Listed Promoter Group Company,Wind energy player's entry into solar manufacturing under INOXGFL Group
BEST APARTMENT PRIVATE LIMITED,RP-SANJIV GOENKA GROUP,Majority,Promoter Group,"Private entity managed by RPSG group finance executives, operating under RPSG Solvanta brand"
